"BATCH_FILE","ITEM","BLOCKS_SEEN","NUMBER_VERDICT","WAY_UP","PHOTO_NOTES","WORDS_VERDICT","WORDS_NOTE","NAME_VERDICT","NAME_NOTE","OTHER_PROBLEMS","SURE"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_01_OF_02_V10F_W0220__cards_01-10__READER_A.json","64","064","MATCHES","1:UPRIGHT","1=[0-6-4 in a row = 064] Full lined sheet, song 'How can you live with yourself? / Do you pretend to be someone else?' about 26 lines.","SHEET WORDS NOT TYPED","Typed words are a short 9-line excerpt with a /// gap. Most of photo 1 is not typed, e.g. 'Do you bury your conscience down below', 'You took my heart in your hands and tore it in two', 'How can you sleep after the things that you do?', 'Lying in bed your night gown covered with lace', 'I'll never know your face you hide / with every I love you another lie'. What is typed matches.","OK","First line / hook 'How can you live with yourself?'.","","SURE"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_01_OF_02_V10F_W0220__cards_01-10__READER_A.json","124","124","MATCHES","1:UPRIGHT","1=[1-2-4 in a row = 124] Clean lined sheet, one stanza: 'Today is the day I know that I will make it ... And learns from the masters what he's known all along' (Bob Dylan Jr pen-name lines).","TYPED WORDS INCLUDE A SHEET NOT PICTURED","First stanza 'Today is the day...' to 'all along' matches the photo. Everything after it is on no photo here: 'Just being here tonight...', 'MY EASTERN LOVE', 'GO ANYWHERE FROM HERE', 'Corona's at the beach with no women at my side...'.","NOT FROM THIS SHEET","'PEAKING THROUGH THE KEYHDE' is not on this sheet (and misspelled). Should be 'Today is the day I know that I will make it'.","Summary contradicts the photo: it describes torn/folded paper with 'In a free market economy / guns aren't sold... they're drawn' and a Racial/Gender/Religious/CLASS list. The photo is a clean lined sheet with the 'Today is the day' lyric - none of that is pictured.","SURE"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_01_OF_02_V10F_W0220__cards_01-10__READER_A.json","179","179","MATCHES","1:UPRIGHT","1=[1-7-9 in a row = 179] Torn-edge lined notebook sheet, 'Hey rich girl - Throw the keys to your Mercedes down to me ... they taught you was wrong'.","MATCH","Typed words match the sheet line for line.","OK","Hook/first words 'Hey rich girl'.","","SURE"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_01_OF_02_V10F_W0220__cards_01-10__READER_A.json","217","217","MATCHES","1:UPRIGHT","1=[2-1-7 in a row = 217] Wrinkled torn loose sheet, working draft 'Without you I'm just part of the whole' with Refrain bracket, A/B/C rhyme letters, cross-outs; a pen lies at the bottom edge.","MATCH","Typed words follow the sheet including margin marks and struck lines. Tiny: the circled 6 by 'Refrain' at top is not mentioned.","OK","First line 'Without you I'm just part of the whole'.","A pen sits in the bottom of the photo covering the corner - cosmetic only.","SURE"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_01_OF_02_V10F_W0220__cards_01-10__READER_A.json","345","345","MATCHES","1:UPRIGHT","1=[3-4-5 in a row = 345] Hole-punched loose-leaf sheet, 'You could be the one that makes my life worth living ... In a land where darkness will never cease'.","MATCH","Typed words match line for line ('inspiration' is struck on the sheet, typed plain - trivial).","OK","First line 'You could be the one that makes my life'.","","SURE"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_01_OF_02_V10F_W0220__cards_01-10__READER_A.json","368","368","MATCHES","1:UPRIGHT","1=[3-6-8 in a row = 368] Lined sheet, 7 lines: 'From some pains you can never run away ... To open up you concealed guilt'.","MATCH","Typed words match the 7 lines.","OK","First line.","","SURE"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_01_OF_02_V10F_W0220__cards_01-10__READER_A.json","370","370","MATCHES","1:UPRIGHT","1=[3-7-0 in a row = 370] Cream spiral notebook page titled 'SCENE 1', 'The sun is rising ... on the soldiers that died'.","MATCH","Typed words match line for line.","OK","'SCENE 1' is the title written at the top of the sheet.","","SURE"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_01_OF_02_V10F_W0220__cards_01-10__READER_A.json","401","401","MATCHES","1:UPRIGHT","1=[4-0-1 in a row = 401] Lined notebook sheet, one poem 'A girl who was quite dear to me ... in saying The heart never lies'.","TYPED WORDS INCLUDE A SHEET NOT PICTURED","First part matches the photo. The part after --- ('I sit and watch the snow / When there's no place else to go ... Bowing to the stars they're so magnificent') is on no photo here.","OK","First line 'A girl who was quite dear to me'.","","SURE"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_01_OF_02_V10F_W0220__cards_11-20__READER_A.json","412","412","MATCHES","1:UPRIGHT","1=[4-1-2 in a row = 412] Torn spiral-notebook sheet, black ink, 'There's no greater pain...' down to 'Fades Away'.","MATCH","Typed words match the sheet line for line.","OK","First line of the sheet.","","SURE"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_01_OF_02_V10F_W0220__cards_11-20__READER_A.json","427","427","MATCHES","1:UPRIGHT","1=[4-2-7 in a row = 427] Star-border paper, blue ink, titled 'Michelle', 'I've been waiting for a night like tonight...' to 'Prone'.","MATCH","Matches. Only tiny inserted words left out (sheet has 'many dark shades of gray' and 'self-portrait all alone').","OK","Title written at the top of the sheet.","","SURE"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_01_OF_02_V10F_W0220__cards_11-20__READER_A.json","492","492","MATCHES","1:UPRIGHT 2:UPRIGHT","1=[4-9-2 in a row = 492] Two lined sheets: typed-style print 'I haven't played in fourteen days...' and a second page with 3 lines plus scribbles and 'Cameron'. || 2=[4-9-2 in a row = 492] Close-up of the same two sheets (top part only).","SMALL DIFFERENCES","All lines match the sheets, but the lyrics are typed TWICE: the block after '---' repeats the first block word for word. Both photos show the same sheets, so the card reads as if there were two versions.","OK","First line / hook of the sheet.","Typed words repeated (one copy per photo) - the second copy should come off.","SURE"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_01_OF_02_V10F_W0220__cards_11-20__READER_A.json","519","519","MATCHES","1:UPRIGHT 2:UPRIGHT","1=[5-1-9 in a row = 519] Lined sheet, 'Face yourself before you face the sea...' to 'Pete Townshend's autobiography', '57 cm' in pencil at bottom. || 2=[5-1-9 in a row = 519] Turned copy is upright. Lined sheet titled 'The Golden Rule' in bubble letters, 'Somebody asked me why I went to catholic school...'.","SMALL DIFFERENCES","Both sheets are typed. Photo 2's title 'The Golden Rule' is not typed, and its first line is typed 'why I went catholic' (sheet: 'why I went to catholic school').","OK","First line of the sheet in photo 1.","","SURE"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_01_OF_02_V10F_W0220__cards_11-20__READER_A.json","529","529","MATCHES","1:UPRIGHT 2:UPRIGHT","1=[5-2-9 in a row = 529] Lined sheet titled 'The Light inside your Lamp' in bubble letters, 'There is now a tuition for philosophy class...'. || 2=[5-2-9 in a row = 529] Turned copy is upright. Lined sheet 'You're my butterfly...' with cross-outs.","MATCH","Both sheets typed (butterfly first, then The Light inside your Lamp); they match.","OK","Title written on the sheet in photo 1.","","SURE"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_01_OF_02_V10F_W0220__cards_11-20__READER_A.json","769","769","MATCHES","1:UPRIGHT","1=[7-6-9 in a row = 769] Lined sheet titled 'DEATH'S COLD EYES', six lines.","MATCH","Title and six lines match.","OK","Title written on the sheet.","","SURE"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_01_OF_02_V10F_W0220__cards_11-20__READER_A.json","778","778","MATCHES","1:UPRIGHT","1=[7-7-8 in a row = 778] Lined sheet 'I write about what the day brings then I...' to 'That you can ever trust'.","TYPED WORDS INCLUDE A SHEET NOT PICTURED","First part matches the photo. The part after '---' ('[crossed out word] you / How long have you been sleeping? ... The only time i'll leave myself exposed') is on no photo of this card.","OK","First line of the sheet.","Extra 5-line verse typed from a sheet not shown here.","SURE"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_01_OF_02_V10F_W0220__cards_11-20__READER_A.json","967","967","MATCHES","1:UPRIGHT","1=[9-6-7 in a row = 967] Lined sheet, script handwriting, 'Car broken down by the side of the road...' to 'Let alone someone else.'","TYPED WORDS INCLUDE A SHEET NOT PICTURED","The first block, 'DEATH'S COLD EYES' and its six lines, is not on this photo - it is the sheet on card 769. Only the part after '---' ('Car broken down...') is this sheet, and it matches.","OK","First line of the sheet.","Typed words start with item 769's poem, so a buyer reads the wrong piece first.","SURE"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_01_OF_02_V10F_W0220__cards_11-20__READER_A.json","1075","1075","MATCHES","1:UPRIGHT 2:UPRIGHT 3:UPRIGHT 4:UPRIGHT","1=[1-0-7-5 in a row = 1075] Green-ink pad page 'Don't fuck with my lyrics: Waiting for you here...' to 'I'm still..'. || 2=[1-0-7-5 in a row = 1075] Green-ink pad page '1:50 chord change vibes!!! ... We Need: Stand out Instrumental or Vocal harmony thingy to replace time.' || 3=[1-0-7-5, tops cut off at photo edge but readable] Pad page, green and red ink: '1:40 hmm hum part...', 'background harmonies So Patiently... I Bide my time Within this endless rhyme', 'SMOOTH TRANSITION'. || 4=[1-?-7-5, mostly cut off at photo edge, consistent with 1075] Pad page, green ink: 'Make ""So patiently..."" sing...', 'Melody Clang!!!', 'change key whole song', 'Extend ""Show"" at 1:24'.","SHEET WORDS NOT TYPED","Photos 3 and 4 (the '1:40 hmm hum part / So patiently / I bide my time' page and the 'Melody Clang / change key' page) are not typed at all. Also the first typed block ('Ending -> waiting for you here with just this line... Nothing's changed... I'm still...') is on no photo. Photos 1 and 2 are typed and match.","NOT FROM THIS SHEET","'Ending' comes from the typed block that is on no photo. From the pictured sheets it should be 'Waiting for you here' (or 'Don't Fuck With My Lyrics').","Blocks in photos 3 and 4 are cut off at the top edge.","FAIRLY SURE"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_01_OF_02_V10F_W0220__cards_11-20__READER_A.json","1984","1984","MATCHES","1:UPRIGHT","1=[1-9-8-4 in a row = 1984] Printed Yahoo Mail email, 23 Nov 1998, subject 'beginnings of a song/poem', lyric 'Hey baby, come for a ride...', one handwritten word 'who'.","SMALL DIFFERENCES","The email text matches, but the typed words begin with '[Hand-drawn boxes containing the numbers 1, 9, 8, 4]' - those are the catalogue number squares, not part of the sheet.","OK","Subject line printed on the email.","Summary is wrong: it calls the number squares 'hand-drawn numbered boxes along the left side' of the sheet; the piece is a printed email printout. The card also prints the recipient's full name and email address.","SURE"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_01_OF_02_V10F_W0220__cards_21-30__READER_A.json","17","017","MATCHES","1:UPRIGHT 2:UPRIGHT 3:UPRIGHT","1=[017] Long sheet 'Talkin' about front page of magazines' (13 lines), torn spiral loose-leaf || 2=[017] Second short sheet, 4 lines 'Talkin' bout front page of magazines... Back stage with beauty queens', torn corner || 3=[017] Both sheets together, lighter and other papers at left edge","SMALL DIFFERENCES","Both pictured sheets are typed. Missing 'for free' after 'everything you want'; 'But if never thought' should be 'But I never thought'.","OK","First line of both sheets.","typed_words shows raw reader headers ('[read/page 2 - shot 53] TITLE : [NONE] PAPER : notebook LINES...') and types each sheet twice. Summary reads like a file note ('3 shots - shot 53 = full text,') and is cut off.","SURE"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_01_OF_02_V10F_W0220__cards_21-30__READER_A.json","26","025","DIFFERENT NUMBER","1:UPRIGHT","1=[025] Spiral notebook sheet 'A higher power is what I need', 9 lines","SHEET WORDS NOT TYPED","Only the first 4 of 9 lines typed. Missing: 'I'm sorry but it's not gravity which pulls you down / To end up where you want to go first your feet have to touch the ground / The rest is easy just follow the yellow brick road / If you walk far enough then you'll find your pot of gold'.","OK","First line of the sheet.","Photo 1 blocks read 0-2-5 (item 25), not 26: third digit is an open S-shaped 5, unlike Tom's looped 6 on photo (76) which reads 026. Neighbours look shifted by one too: photo (72) reads 024 but sits on card 25, photo (76) reads 026 but sits on card 27.","FAIRLY SURE"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_01_OF_02_V10F_W0220__cards_21-30__READER_A.json","169","169","MATCHES","1:UPRIGHT 2:UPRIGHT","1=[169] Plain white sheet, pink/red ink, 'Whenever you feel down', 12 lines || 2=[169] Printed USA Today graphic 'Major League Baseball's influence around the world' on a white sheet (likely the back of the sheet)","MATCH","Handwritten lines match; the printed clipping text is typed after '---'.","OK","First line of the sheet.","Summary mentions only the handwritten sheet, not the printed baseball clipping in photo 2.","SURE"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_01_OF_02_V10F_W0220__cards_21-30__READER_A.json","170","170","MATCHES","1:UPRIGHT","1=[170] Aged, water-stained spiral sheet titled 'SHE', about 27 lines","SHEET WORDS NOT TYPED","Only the first 2 lines typed. Everything from 'Pampered beauty queen every man did want her' to 'any other direction' (about 25 lines) is missing.","OK","Title written on sheet: SHE.","","SURE"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_01_OF_02_V10F_W0220__cards_21-30__READER_A.json","197","197","MATCHES","1:UPRIGHT","1=[197] Loose-leaf sheet 'They say that absence makes the heart grow fonder', 5 lines, torn left edge","SMALL DIFFERENCES","All words present, but 'stronger' is typed into the last line; on the sheet it ends 'my feelings for you just keep getting stronger'. Last line should read 'In what I will now say I will not hesitate'.","OK","First line of the sheet.","","SURE"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_01_OF_02_V10F_W0220__cards_21-30__READER_A.json","207","207","MATCHES","1:UPRIGHT 2:UPRIGHT 3:UPRIGHT","1=[207] Three sheets laid out: full page 1, page 2 (coffee stain), and a short third sheet 'Julia has a garden... That no one else can find' || 2=[207] Close-up of page 1 'Julia has a garden so intricate in design', about 22 lines || 3=[207] Close-up of page 2 'A life as simple as Emerson or Henry David Thoreaux', about 10 lines","SHEET WORDS NOT TYPED","Only 4 lines typed out of about 35. Almost all of page 1 (from 'It is here where warm breezes blow' on) and most of page 2 (coastline, weeping willows, pines, hedgerow lines) are missing.","OK","First line of the sheet.","","SURE"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_01_OF_02_V10F_W0220__cards_21-30__READER_A.json","267","267","MATCHES","1:UPRIGHT","1=[267] Lined sheet titled 'Right Between the Eyes', 21 lines","SHEET WORDS NOT TYPED","Only 4 lines typed (from 'That I traded my gun for a camera'). First 14 lines ('I took a walk through the wilderness' ... 'Is the only thing it proves'), 'Should come as no surprise' and 'Captured in a picture, will never fade away' are missing.","OK","Title written on sheet.","","SURE"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_01_OF_02_V10F_W0220__cards_21-30__READER_A.json","277","277","MATCHES","1:UPRIGHT","1=[277] Lined sheet 'Well I guess the first place to start', 10 lines, black and blue ink","SHEET WORDS NOT TYPED","Only 2 joined fragments typed. Missing: 'Well I guess the first place to start / Would be to tell you that I got love in my heart / Or a brain without a mind / Or mind that can't understand / Or ears that can't hear / This song that I sing'.","OK","First line of the sheet (typed words do not include it).","","SURE"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_01_OF_02_V10F_W0220__cards_21-30__READER_A.json","290","290","MATCHES","1:UPRIGHT","1=[290] Sheet 'I VISITED A PLACE', caps then script, about 13 lines","SHEET WORDS NOT TYPED","Only first 3 and last 2 lines typed. Missing middle: 'No one else knew there was a problem / It represented purity / My God I thought they'd outlawed it / Yet when she looked back at me / I turned away like I never saw it / I cleaned all those trees myself / For you see that I'm a logger'.","OK","First line of the sheet.","","SURE"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_01_OF_02_V10F_W0220__cards_21-30__READER_A.json","339","339","MATCHES","1:UPRIGHT","1=[339] Lined sheet titled 'A Prayer for Life's Meaning' in outline letters, about 14 lines","SHEET WORDS NOT TYPED","Only 3 lines typed out of about 14. Missing e.g. 'Can be seen in waterfalls or the summer's sun', 'Laughing children and passing a cloud', 'His hand wipes the tears that widows weep', 'To each he's different yet the same to all', 'Epiphany of knowledge of His great power / As he waters you from seed to flower'.","OK","Title written on sheet.","","SURE"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_02_OF_02_V10F_W0220__cards_01-10__READER_A.json","342","342","MATCHES","1:UPRIGHT","1=[3-4-2 (row) = 342] Loose-leaf sheet, 16 lines in black ink: The law of the land has not been etched in stone ... dark and blemished scars.","SMALL DIFFERENCES","Typed words are an excerpt only: first 2 lines and last 2 lines. The 12 middle lines (There are those who make their future... through the snow) are on the sheet but not typed.","OK","First line of the sheet.","","SURE"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_02_OF_02_V10F_W0220__cards_01-10__READER_A.json","352","352","MATCHES","1:UPRIGHT","1=[3-5-2 (row) = 352] Loose-leaf sheet with an alphabet row at top, then about 20 lines: If my heart was empty then this paper would be blank ... sad and all alone.","SMALL DIFFERENCES","Typed words are only 2 lines (If my heart was empty... / We all need an anchor...) out of about 20 on the sheet. The rest of the sheet is not typed.","JUNK NAME","Name is the alphabet row written across the top (same name as card 356). Should be the first line: If my heart was empty then this paper would be blank.","","SURE"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_02_OF_02_V10F_W0220__cards_01-10__READER_A.json","356","356","MATCHES","1:UPRIGHT 2:UPRIGHT","1=[3-5-6 (row) = 356] Loose-leaf sheet with alphabet row at top, three verses: I've been lookin' for love in all the wrong places ... want to see what's real. || 2=[3-5-6 (row) = 356] Different lyric on lined paper, black and blue ink: I'm not on welfare so ya know I'm gettin' paid ... find a nice town (8 lines, maybe back of the sheet).","SHEET WORDS NOT TYPED","Photo 2 (I'm not on welfare so ya know I'm gettin' paid... 8 lines) is not typed at all. Photo 1 is typed only as a 5-line excerpt from verse 2.","JUNK NAME","Name is the alphabet row at the top (same name as card 352). Should be the first line: I've been lookin' for love in all the wrong places.","Summary says black ink only; photo 2 has blue ink lines too.","FAIRLY SURE"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_02_OF_02_V10F_W0220__cards_01-10__READER_A.json","361","361","MATCHES","1:UPRIGHT","1=[3-6-1 (row) = 361] Loose-leaf sheet titled HATE with 2 lines: In all my rhymes and all my verses / Sweet words of love have been changed to curses.","MATCH","","OK","Title written on the sheet.","","SURE"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_02_OF_02_V10F_W0220__cards_01-10__READER_A.json","379","379","MATCHES","1:UPRIGHT","1=[3-7-9 (row) = 379] Worn loose-leaf sheet, 4 lines: Unity... you and me together ... be discovered.","MATCH","","OK","First line of the sheet.","Summary says the sheet is oriented sideways; in the photo it is upright.","SURE"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_02_OF_02_V10F_W0220__cards_01-10__READER_A.json","446","446","MATCHES","1:UPRIGHT","1=[4-4-6 (row) = 446] Spiral-torn notebook sheet in grey ink/pencil: is a lonely place / But its not worth waking up with ... I don't want to borrow...","MATCH","","OK","First line on the sheet (the sheet opens mid-sentence, lower case).","Summary says RED INK throughout (new ink color) - reads like a file note, and the writing in the photo looks grey/pencil, not red.","FAIRLY SURE"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_02_OF_02_V10F_W0220__cards_01-10__READER_A.json","481","481","MATCHES","1:UPRIGHT","1=[4-8-1 (row) = 481] Three small lined note cards: Tonight's my ego's night out... / I'm ready to go... explore / Far away... Far away from this place.","SMALL DIFFERENCES","Typed words start with the number blocks typed as lyrics ([Card 1] 1 [Card 2] 8 [Card 3] 4). 'might out' should be 'night out'; 'up and doors' should be 'unopened doors'; note 3 drops 'Nor do I mind a maze' and 'since'.","OK","From the hook but cut short; fuller: Tonight's My Ego's Night Out.","","SURE"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_02_OF_02_V10F_W0220__cards_01-10__READER_A.json","877","877","MATCHES","1:UPRIGHT","1=[8-7-7 (row) = 877] Spiral-torn notebook sheet: scribbled-out word, then How long have you been sleeping? ... leave myself exposed.","MATCH","","OK","First real line of the sheet.","","SURE"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_02_OF_02_V10F_W0220__cards_01-10__READER_A.json","879","879","MATCHES","1:UPRIGHT","1=[8-7-9 (row) = 879] Spiral-torn white notebook sheet, blue and black ink: And so it seems to me ... All in the name of playing follow the leader; letters A A A A down the top right.","MATCH","","JUNK NAME","Name 'A' is one of the stray A letters in the top corner. Should be the first line: And so it seems to me (or the hook: Follow the Leader).","Summary says tan three-hole-punched paper with number squares to the left; photo shows white spiral-torn paper with the squares above it.","SURE"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_02_OF_02_V10F_W0220__cards_01-10__READER_A.json","982","982","MATCHES","1:UPRIGHT","1=[9-8-2 (row) = 982] Loose-leaf sheet, 4 lines: I lay on the ground and I feel death's cold eyes ... by no man's law I abide.","MATCH","","OK","First line of the sheet.","","SURE"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_02_OF_02_V10F_W0220__cards_11-13__READER_A.json","984","984","MATCHES","1:UPRIGHT","1=[984 (row, left to right: 9-8-4)] Torn-off spiral notebook page with 4 handwritten lines at top, three number squares above it.","MATCH","All 4 handwritten lines match the typed words.","OK","Name is the first line of the sheet.","None.","SURE"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_02_OF_02_V10F_W0220__cards_11-13__READER_A.json","993","993","MATCHES","1:UPRIGHT","1=[993 (row, left to right: 9-9-3)] Lined notebook sheet with ragged torn edge, 6 handwritten lines at top and a pen scribble in the middle, three number squares above.","MATCH","All 6 handwritten lines match the typed words ('whole' wraps onto its own line on the sheet). The scribble is not words.","OK","Name is the first line of the sheet.","None.","SURE"
"G02_SONG_HALF_OR_SHORTER_LYRICS_THAT_BECAME_A_SONG_PAGE_02_OF_02_V10F_W0220__cards_11-13__READER_A.json","1756","1756","MATCHES","1:UPRIGHT 2:UPRIGHT 3:UPRIGHT 4:UPRIGHT 5:UPRIGHT 6:UPRIGHT 7:UPRIGHT","1=[1756 (row: 1-7-5-6)] Top page of a stack of printed lyric sheets: 'Rules?' / I AM THE RULES, NICE TITS, BUSINESS, POTATO, LAIDIES, HUMAN BEING, NO WINTER, ALL IN A DAY, with handwritten circles, 'see ALL IN A DAY' notes and bracketed list. || 2=[1756 (row: 1-7-5-6)] Next printed page: DEADLINES, TIME, ORDER, LADIES, THRONE, SAVING, with two handwritten 'see ALL IN A DAY' notes. || 3=[1756 (row: 1-7-5-6)] Next printed page: THIS MOFO, NEITHER, GARDEN OF FLOWERS, FODDER, EXCEPTIONAL, SLAPPED. || 4=[1756 (row: 1-7-5-6)] Next printed page: MAN IN THE MOON, MY SIDE (circled, 'Besides' and 'see ALL IN A DAY' handwritten), WAVES, GOTTA BE. || 5=[partial, cut off at top edge: -7-5-6 bottoms visible (1 cut off)] Next printed page: HARD WORK, DANISH CLOUDS, SOUL BAY, LOOKING. No handwriting. || 6=[partial, cut off at top edge: only the 6 readable] Next printed page: YOU IN THE MORNING, UNDEFINED. Photo is a bit soft/dim but readable. || 7=[NONE] Close-up of a printed page: IN THE KITCHEN, CAVELIGHT. No number squares in frame. Slightly tilted, still reads normally.","MATCH","Typed words match photos 1, 2 and the start of 3 (up to NEITHER) where the text is cut at 1800 chars for the check; photos 4-7 content could not be compared because of the cut. Tiny misreads only (e.g. typed 'one' where sheet reads 'won'; typed 'people who believe' where sheet has 'those who believe' handwritten over a crossed-out word).","OK","'Rules?' is handwritten and circled as the title at the top of the first page.","This is a stack of at least 6 printed pages of short pieces with handwritten notes, not a half sheet; the 'shorter lyrics' type may undersell it. Photo 7 has no number squares (fine since other photos carry 1756).","FAIRLY SURE"
"G03_POEM_IN_34_ALBUMS_PAGE_01_OF_13_V10F_W0220__cards_01-10__READER_A.json","2","002","MATCHES","1:SIDEWAYS","1=[002 (blocks appear as a column because the whole photo is turned; the digits themselves are turned with it)] Spiral notebook open to two pages: left clean draft 'He was twice her size', right revised 'my' version with syllable counts and 'Coming of Fall -> What lies ahead' box. Writing runs down the screen.","TYPED WORDS INCLUDE A SHEET NOT PICTURED","Both notebook pages match. But everything after the first '---' (the 'Just make sure you tell your friend... Lai's channel / Hello my name is Loi' notes and 'Wrote this little piece with a green pen') is on no photo here.","OK","First line of the sheet.","The website file (in rotated-photos) is still sideways - needs a quarter turn to the left.","SURE"
"G03_POEM_IN_34_ALBUMS_PAGE_01_OF_13_V10F_W0220__cards_01-10__READER_A.json","6","006","MATCHES","1:UPRIGHT 2:UPRIGHT","1=[006] Loose-leaf sheet titled FATE IS A WORD, four numbered boxed stanzas. || 2=[006] Turned copy: loose-leaf coda 'And I am a man who loves dishing it out... Oh yeah... Oh no... Maybe...'. This replacement file is the right way up.","MATCH","","OK","Title written at the top of the sheet.","","SURE"
"G03_POEM_IN_34_ALBUMS_PAGE_01_OF_13_V10F_W0220__cards_01-10__READER_A.json","12","012","MATCHES","1:UPRIGHT 2:UPRIGHT","1=[012] Hot pink paper, marker lyric, WATERING THE WEEDS written along the bottom. || 2=[012] Other side: printed pink Porthole Restaurant June 2008 calendar with hand-drawn arrows.","MATCH","","OK","Title written on the sheet.","","SURE"
"G03_POEM_IN_34_ALBUMS_PAGE_01_OF_13_V10F_W0220__cards_01-10__READER_A.json","16","016","MATCHES","1:UPRIGHT","1=[016] Torn spiral strip, multicolor ink, dated 9/30, 'The whole world's a fight I can't get no peace'.","SHEET WORDS NOT TYPED","Only 4 middle lines are typed. Missing: 'The whole world's a fight I can't get no peace / My mind gets disrupted when its at ease' and 'When was the last time you noticed the moon? / I'm surprised you've forgotten so soon'. Also 'Feeling so desperate / Walking from the heart' should be 'Feel so busy / walking seperate from the heart'.","OK","First line of the sheet.","","SURE"
"G03_POEM_IN_34_ALBUMS_PAGE_01_OF_13_V10F_W0220__cards_01-10__READER_A.json","18","018","MATCHES","1:UPRIGHT","1=[018 (plus two cut-off stray blocks '5' and '0' at the right edge, from another set - not a readable number)] Loose sheet, large handwriting, 'I got something on my mind so I better just say it', Chorus: 1st 5 lines, ends 'And sometimes you're Roy'.","MATCH","","OK","First line of the sheet.","Stray partial blocks ('5', '0') and other papers visible at the photo edges. Summary says 'card numbered 8' - the blocks read 018.","SURE"
